task_id,paper_id,paper_file,task_index,task_description,task_tags,dataset_ids
task_b7092f83ac79,paper_5138be33ab55,01_PRDNet.pdf,1,"Predicting multiple physical properties of crystalline materials—including formation energy, band gap, bulk modulus, shear modulus, Young's modulus, exfoliation energy, dielectric constant (refractive index), and metal/non-metal classification—from their atomic structure (i.e., crystal graph defined by atomic types, fractional coordinates, and lattice vectors).",crystal property prediction; materials property regression; materials property classification,dataset_d55b16e3041b; dataset_19d1b1004506; dataset_3ee88ee61ae1
task_c227f1543640,paper_de33568ea5f1,02_CFT_Space_Group_Invariance.pdf,1,"Predicting key material properties—including total energy, band gap, bulk modulus, and shear modulus—from crystal structures represented by atomic positions, lattice vectors, and space group identifiers, while enforcing exact invariance to the input crystallographic space group without requiring group-specific model architectures.",material property prediction; crystal structure modeling; group-invariant regression,dataset_d55b16e3041b
task_51f3a5d84dad,paper_cd706e251a5b,03_Tensorial_Spectra.pdf,1,"Predicting the full frequency-dependent dielectric tensor (a rank-2, complex-valued, symmetric 3×3 tensor at each photon energy) directly from crystal structure, while strictly respecting crystalline symmetry constraints—including rotational equivariance and correct isotropic/anisotropic decomposition—to enable accurate modeling of anisotropic optical responses for optoelectronic materials design.",tensor prediction; optical property prediction; symmetry-aware modeling,dataset_388341d260b1
task_b112dbffd75c,paper_a008eb6410ec,04_Matbench_Discovery.pdf,1,"Predicting the thermodynamic stability of hypothetical inorganic crystal structures by estimating their distance above the convex hull (hull distance) from only unrelaxed input structures, to enable efficient pre-screening before costly DFT relaxation and stability validation.",crystal stability prediction; convex hull distance estimation; pre-screening for DFT validation,dataset_d55b16e3041b; dataset_c103a7259773
task_134b6e57d77b,paper_dfa00819e2d0,05_Thermodynamic_Stability_Ensemble.pdf,1,"Predicting the thermodynamic stability of inorganic compounds by classifying them as stable or unstable based on decomposition energy (ΔHd), where compounds with ΔHd ≤ 0 meV/atom (or relaxed thresholds of 25/40 meV/atom) are labeled stable — enabling high-throughput screening of viable candidates in unexplored compositional spaces.",thermodynamic stability prediction; compound stability classification; decomposition energy estimation,dataset_d55b16e3041b; dataset_f6b0e6dabd69; dataset_3d1fc9ebc1ce; dataset_68145cf04333; dataset_fb64b91da67e; dataset_12a3418563ef; dataset_b8405d6f3030; dataset_c106bbbaba02; dataset_3398d43c9118
task_337f2d813b5e,paper_dd99eeb08a7c,06_Transformer_Atomic_Embeddings.pdf,1,"Generating universal atomic embeddings that serve as transferable, task-agnostic atomic fingerprints to improve the accuracy of machine learning models predicting crystal properties—including formation energy, bandgap, total energy, and total magnetization—across diverse material systems and data-scarce domains such as hybrid organic-inorganic perovskites.",atomic embedding; crystal property prediction; transfer learning,dataset_d55b16e3041b; dataset_d55b16e3041b; dataset_3d1fc9ebc1ce; dataset_9a7a3a5a092f; dataset_1b9ea456752c
task_413133a497b4,paper_527363b91d18,07_EATGNN_Piezoelectric_Tensor.pdf,1,"Predicting the complete third-rank piezoelectric stress tensor (eᵢⱼₖ) for crystalline materials — including all 18 independent Voigt components — while respecting crystal symmetry, rotational equivariance, and coordinate-frame independence, to enable accurate characterization of longitudinal, transverse, and shear piezoelectric effects across arbitrary crystallographic orientations.",piezoelectric tensor prediction; equivariant learning; crystal symmetry-aware modeling,dataset_d55b16e3041b; dataset_68145cf04333; dataset_3d1fc9ebc1ce
task_29d66873e68c,paper_cdf2df178098,08_HiBoFL_Thermal_Conductivity.pdf,1,"Identifying semiconductors with ultralow lattice thermal conductivity (κL) — specifically, screening and classifying candidate materials from a vast chemical space to discover those with κL ≤ 2 W/mK at 300 K for thermoelectric applications, while uncovering interpretable structural and compositional descriptors governing ultralow κL.",screening; classifying; discovering; interpreting,dataset_d55b16e3041b; dataset_8030c6211eeb
task_dbae0fb23b52,paper_ff6e0dbcf294,09_LLM_Prop.pdf,1,"Predicting six key physical and electronic properties of crystalline materials—including band gap (eV), formation energy per atom (eV/atom), energy above hull (eV/atom), unit cell volume (Å³/cell), energy per atom (eV/atom), and binary classification of whether the band gap is direct or indirect—from natural language text descriptions of crystal structures.",property prediction; crystal property prediction; regression; classification; materials informatics,dataset_da938cf04999; dataset_d55b16e3041b
task_f4a8c4f8f856,paper_376c54bdb055,10_CrystalFramer.pdf,1,"Predicting multiple physical properties of crystalline materials from their 3D crystal structures, including formation energy, total energy, bandgap (under two DFT functionals), energy above hull, bulk modulus, and shear modulus — all requiring SE(3)-invariant representations that respect periodicity, rotational/translation symmetry, and unit-cell ambiguity.",crystal property prediction; SE(3)-invariant modeling; materials property regression,dataset_19d1b1004506; dataset_d55b16e3041b; dataset_f6b0e6dabd69
